No,Category,Guideline,Keywords,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,"Stack","Use the repo baseline","local react-router vite css-modules admin dashboard workspace","Design and implement for React 19, React Router v7, CSS Modules, and semantic tokens.","Start from the existing stack and local primitives.","Assume Tailwind or shadcn/ui is the default baseline.","Use CSS Modules plus @real-demo/ui.","Add Tailwind utilities or shadcn patterns as the default.",High,"docs/frontend-architecture.md"
2,"Styling","Use semantic tokens","theme tokens color palette semantic variables light dark","Consume CSS custom properties from packages/ui tokens.","Use var(--color-*) and related semantic variables.","Hardcode raw colors in business components or feature CSS.","color: var(--color-text-primary)","color: #111827",High,"docs/theme-guidelines.md"
3,"Styling","Keep tokens in the token layer","tokens colors palette design-system","Raw palette values belong in token definitions.","Change packages/ui tokens when the system needs a new color.","Scatter hex values across page CSS modules.","packages/ui/src/tokens.css","apps/web/src/pages/foo/Foo.module.css with many hex values",High,"docs/theme-guidelines.md"
4,"Styling","Prefer CSS Modules for app UI","css-modules page feature component styling","Local page and feature styling should use CSS Modules.","Create Foo.module.css and bind classes.","Build page styling out of large inline style objects.","import styles from './Foo.module.css'","style={{ display: 'grid', gap: 8 }}",Medium,"docs/frontend-architecture.md"
5,"UI","Reuse @real-demo/ui primitives","shared ui button input card modal empty-state storybook","Shared primitives should come from the shared UI package first.","Use Button, Input, Card, EmptyState, and Modal from @real-demo/ui when they fit.","Rebuild common primitives inside every page or feature.","import { Button } from '@real-demo/ui'","Create a one-off button primitive inside a page.",Medium,"packages/ui/src/index.tsx"
6,"Data","Use SDK-first requests","sdk api request query chat skills spaces users","Frontend transport should go through @real-demo/sdk.","Wrap server access in sdk hooks or entity adapters.","Call random endpoints with fetch in page code.","useListSpaces()","fetch('/api/spaces')",High,"docs/dependency-boundaries.md"
7,"Data","Keep server state in TanStack Query","tanstack-query server-state caching invalidation list detail","Server-backed data belongs in query hooks and entity adapters.","Use query hooks and invalidation.","Store API payloads in Zustand stores.","useQuery({...})","zustandStore.setState({ users })",High,"docs/frontend-architecture.md"
8,"State","Use Zustand only for local UI state","zustand local ui state theme popover panel","Zustand is for theme and local interaction state, not server data.","Store UI preference or transient panel state.","Store lists or detail payloads from the server.","theme preference store","global server cache store",High,"docs/frontend-architecture.md"
9,"Architecture","Respect FSD boundaries","fsd pages widgets features entities shared admin dashboard route","Pick the right layer before implementing.","Put route assembly in pages and workflows in features.","Drop business logic into shared or route pages.","features/space-invite","shared/lib/businessRules.ts",High,"docs/frontend-architecture.md"
10,"Architecture","Keep shared generic","shared generic utilities business imports semantics","shared should not grow business-specific imports or semantics.","Place domain behavior in features or entities.","Hide business rules in shared helpers.","shared/ui/Spinner","shared/lib/spaceRoleLabel.ts",High,"docs/frontend-architecture.md"
11,"Accessibility","Attach labels to controls","form labels inputs textarea dialog settings admin","Inputs and textareas need labels or equivalent accessible names.","Keep <label> or aria-label wired.","Use placeholder as the only cue.","<label>Email<input ... /></label>","<input placeholder='Email' />",High,"docs/accessibility-guidelines.md"
12,"Accessibility","Preserve visible focus","focus keyboard navigation outline accessibility","Interactive elements need readable focus treatment.","Use token-based outlines and focus styles.","Remove outlines without replacement.",":focus-visible with semantic outline","outline: none",High,"docs/accessibility-guidelines.md"
13,"Accessibility","Keep dialog titles","dialog modal title description radix focus","Modal and dialog surfaces need accessible titles and descriptions.","Provide title text for dialog components.","Render dialog content without a title.","<Modal title='Invite user' />","<Dialog.Content>...</Dialog.Content>",High,"docs/accessibility-guidelines.md"
14,"Feedback","Design explicit loading empty error states","loading empty error skeleton spinner request feedback","User feedback should be readable without color alone.","Add clear states for async surfaces.","Leave blank areas while data loads.","Spinner plus status text","No feedback state",High,"docs/accessibility-guidelines.md"
15,"Content","Localize every user-facing string","i18n locales en zh translation copy","All copy must land in en.ts and zh.ts together.","Add keys to both locale files.","Ship new UI text in only one language.","t('admin.title')","<h1>Admin</h1>",High,"docs/i18n-guidelines.md"
16,"Theme","Respect light and dark themes","light dark theme semantic variables","Token-based theming should work in both theme modes.","Use semantic variables that flip by theme.","Special-case theme colors in component logic.","background: var(--color-bg-base)","if (theme === 'dark') ...",Medium,"docs/theme-guidelines.md"
17,"Testing","Use MSW for frontend request mocking","msw frontend test mocking vitest","Frontend tests should mock transport at the network boundary.","Use MSW handlers and Testing Library.","Stub fetch ad hoc in every test.","msw server handlers","global.fetch = vi.fn()",Medium,"docs/testing-guidelines.md"
18,"Testing","Build Storybook for shared UI changes","storybook shared ui primitives visual regression","packages/ui changes should consider Storybook regressions.","Run Storybook build when primitives change.","Skip UI verification for shared component changes.","pnpm build-storybook:ui","Merge without Storybook check",Medium,"docs/testing-guidelines.md"
19,"Interaction","Use motion with restraint","motion animation transition hover page-load","Prefer a few meaningful motions tied to hierarchy and state.","Animate opacity, transform, and staged reveals.","Add noisy motion everywhere.","Subtle staggered entry","Constant decorative animation",Low,"docs/accessibility-guidelines.md"
20,"Implementation","Adapt search results to local constraints","local stack constraints repo rules","Search output is inspiration and guidance, not a drop-in implementation.","Translate results into the repo's primitives and tokens.","Copy generic framework snippets verbatim into apps/web.","Map to CSS Modules and @real-demo/ui","Drop raw html-tailwind snippet into apps/web",High,".agents/skills/ui-ux-pro-max/references/local-ui.md"
